DOIs,Titles
doi:10.5683/SP3/GLDLEJ,"Enquête sur la population active, avril 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/INH6VY,"Enquête sur la population active, avril 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/JSH9DJ,"Enquête sur la population active, décembre 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/QHEWAV,"Enquête sur la population active, décembre 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/1JYSPG,"Enquête sur la population active, décembre 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/3P5T20,"Enquête sur la population active, décembre 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/AA6IVA,"Enquête sur la population active, décembre 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/LQ1T4L,"Enquête sur la population active, décembre 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/G8B0O3,"Enquête sur la population active, décembre 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/DGU5EQ,"Enquête sur la population active, décembre 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/J5HRE7,"Enquête sur la population active, décembre 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/HBHSQM,"Enquête sur la population active, février 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/KHTHEX,"Enquête sur la population active, février 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/7WOILV,"Enquête sur la population active, février 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/MCLDYQ,"Enquête sur la population active, février 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/FIHLNK,"Enquête sur la population active, février 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/0KNSJJ,"Enquête sur la population active, février 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/GH38CW,"Enquête sur la population active, février 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/O1ZNT3,"Enquête sur la population active, février 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/UTGCVU,"Enquête sur la population active, février 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/FJ7SOK,"Enquête sur la population active, janvier 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/LHSHTV,"Enquête sur la population active, janvier 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/8HSOTX,"Enquête sur la population active, janvier 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/THJFNF,"Enquête sur la population active, janvier 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/JZEBPC,"Enquête sur la population active, janvier 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/IAYK5C,"Enquête sur la population active, janvier 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/P4CQOW,"Enquête sur la population active, janvier 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/TUIYFV,"Enquête sur la population active, janvier 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/XLEFR9,"Enquête sur la population active, janvier 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/EJDHDA,"Enquête sur la population active, juillet 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/GDRUPX,"Enquête sur la population active, juillet 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/3OFKIW,"Enquête sur la population active, juillet 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/VVRFUN,"Enquête sur la population active, juillet 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/LJABQZ,"Enquête sur la population active, juillet 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/J7TKNK,"Enquête sur la population active, juillet 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/YO9DET,"Enquête sur la population active, juillet 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/RANXCF,"Enquête sur la population active, juillet 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/433P06,"Enquête sur la population active, juillet 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/GZP24X,"Enquête sur la population active, juin 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/HQDESB,"Enquête sur la population active, juin 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/B9FPMX,"Enquête sur la population active, juin 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/JX0NHE,"Enquête sur la population active, juin 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/Z06SCY,"Enquête sur la population active, juin 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/1Y74BR,"Enquête sur la population active, juin 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/2IGVZ1,"Enquête sur la population active, juin 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/RMVKJV,"Enquête sur la population active, juin 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/YUSS1P,"Enquête sur la population active, juin 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/ZYLFA1,"Enquête sur la population active, mai 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/HU5YY1,"Enquête sur la population active, mai 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/QSL7U6,"Enquête sur la population active, mai 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/XCUX2L,"Enquête sur la population active, mai 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/BSM7CH,"Enquête sur la population active, mai 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/FNSEE8,"Enquête sur la population active, mai 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/EBFMXV,"Enquête sur la population active, mai 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/EZDGFP,"Enquête sur la population active, mai 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/JWXG8Z,"Enquête sur la population active, mai 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/RIAIVB,"Enquête sur la population active, mars 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/QIEPZN,"Enquête sur la population active, mars 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/BHZZWY,"Enquête sur la population active, mars 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/KGCXDV,"Enquête sur la population active, mars 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/WA8WIO,"Enquête sur la population active, mars 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/CMVQAW,"Enquête sur la population active, mars 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/LZ2ZYM,"Enquête sur la population active, mars 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/YRTZUZ,"Enquête sur la population active, mars 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/WFQ0MY,"Enquête sur la population active, mars 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/DHREXG,"Enquête sur la population active, novembre 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/M7RSFC,"Enquête sur la population active, novembre 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/AUN3IV,"Enquête sur la population active, novembre 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/KQVEVX,"Enquête sur la population active, novembre 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/MCICEW,"Enquête sur la population active, novembre 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/JE6AWN,"Enquête sur la population active, novembre 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/EH47C3,"Enquête sur la population active, novembre 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/L8KAKB,"Enquête sur la population active, novembre 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/JNEOIE,"Enquête sur la population active, novembre 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/49QVOC,"Enquête sur la population active, octobre 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/SIG0DA,"Enquête sur la population active, octobre 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/G7JACP,"Enquête sur la population active, octobre 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/SDVTQK,"Enquête sur la population active, octobre 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/WNVKOM,"Enquête sur la population active, octobre 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/ON5F2L,"Enquête sur la population active, octobre 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/EMWC5Y,"Enquête sur la population active, octobre 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/BMRMLC,"Enquête sur la population active, octobre 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/ULSXYD,"Enquête sur la population active, octobre 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/DRXMF9,"Enquête sur la population active, septembre 2006 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/YGHL16,"Enquête sur la population active, septembre 2007 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/OAEV6U,"Enquête sur la population active, septembre 2008 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/WZ2REI,"Enquête sur la population active, septembre 2009 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/GT0FO7,"Enquête sur la population active, septembre 2011 [Canada] [Remanié 2025]"
doi:10.5683/SP3/O2ZH9H,"Enquête sur la population active, septembre 2013 [Canada] [Remanié 2025]"
doi:10.5683/SP3/PO8ZTT,"Enquête sur la population active, septembre 2012 [Canada] [Remanié 2025]"
doi:10.5683/SP3/UQFDGF,"Enquête sur la population active, septembre 2010 [Canada]  [Remanié 2023]"
doi:10.5683/SP3/FEPZN9,"Enquête sur la population active, septembre 2014 [Canada] [Remanié 2025]"
doi:10.5683/SP3/OAODWR,"Labour Force Survey, January 2017 [Canada]  [Rebased 2025]"
doi:10.5683/SP3/NZUCJM,"Labour Force Survey, December 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/O02KEV,"Labour Force Survey, June 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/KBZYQZ,"Labour Force Survey, January 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/D3QTAY,"Labour Force Survey, August 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/NCDETK,"Labour Force Survey, July 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/J5RB96,"Labour Force Survey, May 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/KVBLSG,"Labour Force Survey, March 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/6REI1T,"Labour Force Survey, April 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/GGTLPK,"Labour Force Survey, February 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/0NEAF2,"Labour Force Survey, April 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/2UZCUY,"Labour Force Survey, October 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/LQSZZZ,"Labour Force Survey, November 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/CHMOB8,"Labour Force Survey, December 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/HNRB1Z,"Labour Force Survey, August 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/NGMSOL,"Labour Force Survey, September 2006 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/1UZR2H,"Labour Force Survey, February 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/BJFOOF,"Labour Force Survey, January 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/W46ZDH,"Labour Force Survey, July 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/MDYBEA,"Labour Force Survey, March 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/G9USZB,"Labour Force Survey, June 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/UYICD9,"Labour Force Survey, May 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/J6V73G,"Labour Force Survey, November 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/G1AV9K,"Labour Force Survey, October 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/YFF6MK,"Labour Force Survey, September 2007 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/T8J5VW,"Labour Force Survey, April 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/FLM0I6,"Labour Force Survey, March 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/XQUFCL,"Labour Force Survey, June 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/BJKYN0,"Labour Force Survey, January 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/6EWYCL,"Labour Force Survey, July 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/NUWJUN,"Labour Force Survey, August 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/AAA57C,"Labour Force Survey, December 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/FXNSFW,"Labour Force Survey, April 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/WJJC3T,"Labour Force Survey, February 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/X03VWA,"Labour Force Survey, November 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/6E162L,"Labour Force Survey, May 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/YMJQII,"Labour Force Survey, September 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/9TLQNX,"Labour Force Survey, October 2008 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/YWQTB5,"Labour Force Survey, August 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/R4BWAI,"Labour Force Survey, March 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/BAVCPX,"Labour Force Survey, July 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/PPQEUT,"Labour Force Survey, December 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/6OFHYI,"Labour Force Survey, November 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/PIVOV0,"Labour Force Survey, January 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/B3DQVD,"Labour Force Survey, February 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/E6DEK6,"Labour Force Survey, February 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/HUFZVI,"Labour Force Survey, September 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/ETU0CW,"Labour Force Survey, May 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/NRHKZE,"Labour Force Survey, August 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/KJHBOV,"Labour Force Survey, December 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/CFPID6,"Labour Force Survey, June 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/N7P5OR,"Labour Force Survey, January 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/MRF4NX,"Labour Force Survey, July 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/04GA6Q,"Labour Force Survey, June 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/8ORSXN,"Labour Force Survey, October 2009 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/YGN3YF,"Labour Force Survey, April 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/K7Q2J2,"Labour Force Survey, March 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/OFQIZC,"Labour Force Survey, November 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/FM7UBD,"Labour Force Survey, May 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/FAHTNA,"Labour Force Survey, October 2010 [Canada] [Rebased, 2023 Revisions]"
doi:10.5683/SP3/6H8OLH,"Labour Force Survey, September 2010 [Canada] [Rebased, 2023 Revisions]"
